##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;=====================;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;TEXT COLORS:;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§A = 0,64,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§B = 0,0,192;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§C = 128,0,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§D = 255,255,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§E = 255,0,255;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§F = 255,128,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§G = 0,100,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§H = 128,128, 128;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§I = 0,0,255;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§J = 0,192,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§M = 100,255,100;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§N = 255,100,100;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§R = 240,0,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§W = 255,255,255;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§Y = 208,232,248;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§Z = 0,0,0;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;§§ - restores old color;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Minister personalities;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_RUTHLESS_DICTATOR;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;Ruthless Dictator;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_RUTHLESS_DICTATOR;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;The Ruthless Dictator rules his country with an iron fist and uses its resources for to fulfill his personal ambitions.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_GERMAN_ARISTOCRAT;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;German Aristocrat;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_GERMAN_ARISTOCRAT;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;The German Aristocrat is a member of the German Royal families and has been imposed by the German Empire as ruler of the country.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_RUSSIAN_ARISTOCRAT;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;Russian Aristocrat;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_RUSSIAN_ARISTOCRAT;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the hearts and minds of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;The Russian Aristocrat has been imposed by Russia as ruler of the country and struggles to win the heart of its people.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_PRAGMATIC_STATESMAN;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;Pragmatic Statesman;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_PRAGMATIC_STATESMAN;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;The Pragmatic Statesman's politics are goal-oriented, based primarily on flexible considerations of given circumstances and factors, and less on explicit ideological rules.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_REFORMIST_SOLDIERHOG;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_REFORMIST_SOLDIERHOG;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_REFORMIST_SOLDIERHOS;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;Reformist Soldier;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_REFORMIST_SOLDIERHOS;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;The Reformist Soldier is a junior military officer who has recently turned to politics. Believing that his own generals and admirals are too compromised with the corrupt government of the country, he now wants to reform society from within, with the help of other similar-minded men of the armed forces.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_CARRIER_PROPONENT;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;Carrier proponent;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_CARRIER_PROPONENT;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;The Carrier Proponent is not only an able administrator and politician, he is also a meddler in Grand Strategy. He believes that carriers are what the country needs.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_INDUSTRIALISER;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;Industrialiser;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPERSONALITY_INDUSTRIALISER;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means necessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;Well prepared economist, the industrialiser has one ambition - to turn his country into an industrial powerhouse. He is ready to use any means neccessary to accomplish this goal - even if that means sacrificing things like personal freedom.;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPERSONALITY_BANK_PRESIDENT;Bank President;Bank President;Bank President;Bank President;Bank President;Bank President;Bank President;Bank President;;;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
