Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Mayne;13300058;U71;1933;1957;1960;1966;1;9;1048576;6;1;5;0;U71 - Robert Blair Mayne;1933;1957;x
Quigg;13300059;U71;1933;1935;1932;1931;2;7;2;3;2;10;0;U71 - Robert Quigg;1927;1947;x
J.H. McCormick;13300060;U71;1933;1935;1932;1931;0;8;512;5;2;10;0;U71 - James H McCormick;1920;1946;x
Harvey;13300061;U71;1933;1935;1932;1931;0;7;4;4;3;10;0;U71 - Norman Harvey;1920;1954;x
H.H WIlson;13300062;U71;1933;1957;1960;1966;0;8;268435457;6;9;5;0;U71 - Henry H Wilson;1919;1948;x
Hall;13300063;U71;1933;1957;1960;1966;2;6;33554436;6;9;5;0;U71 - John R Hall;1922;1952;x
Callaghan;13300064;U71;1933;1957;1960;1966;2;8;8388640;7;9;8;0;U71 - Arthur Nickson Callaghan;1922;1952;x
J.S.Brown;13300065;U71;1933;1957;1960;1966;1;7;536870914;7;9;8;0;U71 - John Southwell Brown;1924;1956;x
O'Leary;13300066;U71;1933;1957;1960;1966;2;7;268435458;7;9;8;0;U71 - Michael John O'Leary;1924;1956;x
Archdale;13300067;U71;1933;1957;1960;1966;1;7;4096;7;9;8;1;U71 - Edward Archdale;1920;1941;x
