Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aznar Gerner;13300001;UBO;1933;1990;1990;1990;3;4;0;0;0;4;0;L3406;1933;1964;x
Bautista Sanchéz;13300002;UBO;1933;1990;1990;1990;3;7;64;0;0;5;0;L3407;1933;1964;x
de Borbón y Pintó;13300003;UBO;1933;1936;1990;1990;2;5;4;0;0;5;0;unknownleader;1933;1990;x
del Burgo Torres;13300004;UBO;1933;1990;1990;1990;3;4;0;0;0;5;0;UBO - Jaime del Burgo Torres;1933;1964;x
García Valiño;13300005;UBO;1933;1938;1941;1947;2;8;16;3;0;5;0;L3430;1933;1964;x
Goicoechea Omar;13300006;UBO;1933;1990;1990;1990;3;5;36;0;0;5;0;UBO - Alejandro Goicoechea Omar;1933;1964;x
Hedilla Larrey;13300007;UBO;1933;1990;1990;1990;3;3;0;0;0;5;0;L3436;1933;1960;x
Pérez-Salas García;13300008;UBO;1933;1990;1990;1990;3;4;16;0;0;5;0;unknownleader;1933;1964;x
Mola Vidal;13300009;UBO;1933;1933;1933;1933;0;8;0;4;0;5;0;L3443;1933;1960;x
Muñoz Grandes;13300010;UBO;1937;1940;1943;1946;2;8;12;3;0;5;0;L3448;1933;1964;x
de Rada Peral;13300011;UBO;1933;1990;1990;1990;3;5;16;0;0;5;0;L3419;1933;1960;x
Redondo Garcia;13300012;UBO;1933;1936;1990;1990;2;5;0;1;0;5;0;unknownleader;1933;1964;x
Redondo Ortega;13300013;UBO;1933;1990;1990;1990;3;4;0;0;0;4;0;L3452;1933;1964;x
Ridruejo;13300014;UBO;1938;1990;1990;1990;3;3;0;0;0;5;0;L3453;1938;1960;x
Sancho Dávila;13300015;UBO;1938;1990;1990;1990;3;3;0;0;0;4;0;L3458;1938;1960;x
Sanjurjo Sacanell;13300016;UBO;1933;1933;1933;1933;0;7;513;2;0;5;0;L3460;1933;1950;x
Solchaga Zala;13300017;UBO;1937;1941;1990;1990;3;6;0;1;0;4;0;L3459;1933;1953;x
de Utrilla Belbel;13300018;UBO;1933;1936;1990;1990;2;6;0;1;0;5;0;UBO - Alejandro de Utrilla Belbel;1933;1963;x
Varela Iglesias;13300019;UBO;1933;1938;1943;1990;2;7;4;2;0;4;0;L3464;1933;1960;x
