U40;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1015001;Head of State;H.M. Mindaugas III;1933;1982;PA;Benevolent Gentleman;High;GER - Duke Karl Gero of Urach;X
1015002;Head of Government;Stanislaw Bulak-Balachowicz;1933;1964;PA;Old General;High;5960;X
1015003;Foreign Minister;Stasys Lozoraitis;1933;1964;PA;Ideological Crusader;Very High;M28003;X
1015004;Minister of Armament;Mikola Abramchyk;1933;1964;PA;Administrative Genius;Very High;M517026;X
1015005;Minister of Security;Vladas Mironas;1933;1964;PA;Efficient Sociopath;Very High;M28044;X
1015006;Head of Military Intelligence;Larysa Hienijush;1933;1964;PA;Political Specialist;Very High;M517033;X
1015007;Chief of Staff;Stanislaw Bulak-Balachowicz;1933;1964;PA;School of Defence;Very High;5960;X
1015008;Chief of Army;Stasys Rastikis;1933;1964;PA;Elastic Defence Doctrine;Very High;M28008;X
1015009;Chief of Navy;Stanislaw Bulak-Balachowicz;1933;1964;PA;Coastal Defence Doctrine;Very High;5960;X
1015010;Chief of Air Force;Stasys Rastikis;1933;1964;PA;Army Aviation Doctrine;Very High;M28008;X
