UTC;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1335001;Head of State;H.I.M. Hirohito;1901;1990;SC;Puppet Emperor;High;M5001;X
1335002;Head of Government;Lin Hsien-tang;1933;1964;SC;Silent Workhorse;High;UTC - Lin Hsien-tang;X
1335003;Foreign Minister;Lin Hsien-tang;1933;1964;SC;Great Compromiser;Very High;UTC - Lin Hsien-tang;X
1335004;Minister of Armament;Koo Chen-fu;1933;1964;SC;Administrative Genius;Very High;UTC - Koo Chen-fu;X
1335005;Minister of Security;Tsai Pei-huo;1933;1964;SC;Man of the People;Very High;UTC - Tsai Pei-huo;X
1335006;Head of Military Intelligence;Tsai Pei-huo;1933;1964;SC;Dismal Enigma;Very High;UTC - Tsai Pei-huo;X
1335007;Chief of Staff;Hata Shunroku;1933;1964;SC;School of Defence;Very High;L101034;X
1335008;Chief of Army;Tanaka Hisakazu;1933;1964;SC;Static Defence Doctrine;Very High;L101173;X
1335009;Chief of Navy;Tanaka Hisakazu;1933;1964;SC;Coastal Defence Doctrine;Very High;L101173;X
1335010;Chief of Air Force;Hata Shunroku;1933;1964;SC;Army Aviation Doctrine;Very High;L101034;X
1335011;Head of State;Hsieh Hsueh-hung;1933;1964;LWR;Insignificant Layman;High;UTC - Hsieh Hsueh-hung;X
1335012;Head of Government;Wu Chen;1933;1964;LWR;Silent Workhorse;High;UTC - Wu Chen;X
1335013;Foreign Minister;Sheng Zhongliang;1933;1964;LWR;The Cloak N Dagger Schemer;Very High;UTC - Sheng Zhongliang;X
1335014;Minister of Armament;Xu Yuxin;1933;1964;LWR;Planned Economy Proponent;Very High;UTC - Xu Yuxin;X
1335015;Minister of Security;Chen Zhixiong;1933;1964;LWR;Back Stabber;Very High;UTC - Chen Zhixiong;X
1335016;Head of Military Intelligence;Chen Zhixiong;1933;1964;LWR;Dismal Enigma;Very High;UTC - Chen Zhixiong;X
1335017;Chief of Staff;Ts'ai Hsiao;1933;1964;LWR;School of Psychology;Very High;UTC - Ts'ai Hsiao;X
1335018;Chief of Army;Xu Yuxin;1933;1964;LWR;Guerilla Warfare Doctrine;Very High;UTC - Xu Yuxin;X
1335019;Chief of Navy;Ts'ai Hsiao;1933;1964;LWR;Coastal Defence Doctrine;Very High;UTC - Ts'ai Hsiao;X
1335020;Chief of Air Force;Xu Yuxin;1933;1964;LWR;Army Aviation Doctrine;Very High;UTC - Xu Yuxin;X
1335021;Head of State;H.I.M. Hirohito;1901;1990;PA;Puppet Emperor;High;M5001;X
1335022;Head of Government;Kobayashi Seizo;1933;1964;PA;Old Admiral;High;L101242;X
1335023;Foreign Minister;Hasegawa Kiyoshi;1933;1964;PA;General Staffer;Very High;L101228;X
1335024;Minister of Armament;Ando Rikichi;1933;1964;PA;Military Entrepreneur;Very High;L101008;X
1335025;Minister of Security;Abe Genki;1933;1964;PA;Secret Police Chief;Very High;M5114;X
1335026;Head of Military Intelligence;Abe Genki;1933;1964;PA;Counterintelligence Specialist;Very High;M5114;X
1335027;Chief of Staff;Hata Shunroku;1933;1964;PA;School of Defence;Very High;L101034;X
1335028;Chief of Army;Tanaka Hisakazu;1933;1964;PA;Static Defence Doctrine;Very High;L101173;X
1335029;Chief of Navy;Tanaka Hisakazu;1933;1964;PA;Coastal Defence Doctrine;Very High;L101173;X
1335030;Chief of Air Force;Hata Shunroku;1933;1964;PA;Army Aviation Doctrine;Very High;L101034;X
1335031;Head of State;Lee Teng-hui;1988;2020;ML;Die-hard Reformer;High;UTC - Lee Teng-hui;X
1335032;Head of State;Ts'ai Hsiao;1979;1984;LWR;Resigned Generalissimo;Medium;UTC - Ts'ai Hsiao;X
1335033;Head of State;Su Ziheng;1983;1988;LWR;Weary Stiffneck;Medium;UTC - Su Ziheng;X
1335034;Head of State;Lin Shengzhong;1987;2012;LWR;Barking Buffoon;Medium;UTC - Lin Shengzhong;X
1335035;Head of State;Cai Zimin;1988;2020;LWR;Insignificant Layman;Medium;UTC - Cai Zimin;X
1335036;Head of State;Zhang Kehui;1997;2020;LWR;Weary Stiffneck;Medium;UTC - Zhang Kehui;X
1335037;Head of State;Huang Hsin-chieh;1980;2000;SL;Die-hard Reformer;High;UTC - Huang Hsin-chieh;X
1335038;Head of State;H.I.M. Hirohito;1963;1990;SC;Puppet Emperor;High;JAP - Emperor Showa;X
1335039;Head of State;H.I.M. Akihito;1989;2020;SC;Benevolent Gentleman;High;JAP - Emperor Heisei;X
1335040;Head of State;H.I.M. Hirohito;1963;1990;PA;Puppet Emperor;High;JAP - Emperor Showa;X
1335041;Head of State;H.I.M. Akihito;1989;2020;PA;Benevolent Gentleman;High;JAP - Emperor Heisei;X
1335042;Head of Government;Sheng Zhongliang;1963;2004;LWR;Backroom Backstabber;Very High;UTC - Sheng Zhongliang;X
1335043;Head of Government;Su Ziheng;1970;1997;LWR;Silent Workhorse;High;UTC - Su Ziheng;X
1335044;Head of Government;Cai Zimin;1985;2004;LWR;Happy Amateur;High;UTC - Cai Zimin;X
1335045;Head of Government;Zhang Kehui;1991;2020;LWR;Political Protege;Medium;UTC - Zhang Kehui;X
1335046;Head of Government;Thomas Liao;1955;1987;SC;Silent Workhorse;High;UTC - Thomas Liao;X
1335047;Head of Government;Lei Chen;1955;1980;SL;Flamboyant Tough Guy;High;UTC - Lei Chen;X
