BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
160001;Head of State;Getulio Vargas;1933;1964;LWR;Autocratic Charmer;High;M34001;X
160002;Head of Government;Getulio Vargas;1933;1964;LWR;Naive Optimist;High;M34001;X
160003;Foreign Minister;José de Macedo Soares;1933;1964;LWR;Iron Fisted Brute;Medium;M34003;X
160004;Minister of Armament;Café Filho;1933;1964;SD;Military Entrepreneur;Low;M34004;X
160005;Minister of Security;Marcondes Filho;1933;1964;SD;Crime Fighter;High;M34005;X
160006;Head of Military Intelligence;Filinto Muller;1933;1964;SD;Political Specialist;Very High;M34006;X
160007;Chief of Staff;Gaspar Dutra;1933;1964;LWR;School of Defence;Medium;M34007;X
160008;Chief of Army;Joao Neves da Fontoura;1933;1964;LWR;Static Defence Doctrine;Medium;M34008;X
160009;Chief of Navy;Aristides Guilhem;1933;1964;SD;Open Seas Doctrine;Medium;M34009;X
160010;Chief of Air Force;Salgado Filho;1933;1964;LWR;Army Aviation Doctrine;Medium;M34010;X
160011;Head of State;Luis Carlos Prestes;1933;1964;ST;Die-hard Reformer;High;M34051;X
160012;Head of State;Nero Fiuza de Castro;1945;1964;SD;Benevolent Gentleman;High;M34031;X
160013;Head of State;Eduardo Gomes;1937;1964;ML;Stern Imperialist;High;M34021;X
160014;Head of State;Washington Luis Pereira;1943;1964;SC;Insignificant Layman;High;M34066;X
160015;Head of State;Gaspar Dutra;1945;1964;SC;Weary Stiffneck;High;M34011;X
160016;Head of State;Plinio Salgado;1933;1964;FA;Powerhungry Demagogue;High;M34041;X
160017;Head of Government;Luis Carlos Prestes;1933;1964;ST;Smiling Oilman;High;M34051;X
160018;Head of Government;Nero Fiuza de Castro;1945;1964;SD;Naive Optimist;High;M34031;X
160019;Head of Government;Eduardo Gomes;1937;1964;ML;Flamboyant Tough Guy;High;M34021;X
160020;Head of Government;Washington Luis Pereira;1943;1964;SC;Naive Optimist;High;M34066;X
160021;Head of Government;Gaspar Dutra;1945;1964;PA;Old General;High;M34011;X
160022;Head of Government;Plinio Salgado;1933;1964;FA;Backroom Backstabber;High;M34041;X
160023;Foreign Minister;Oswaldo Aranha;1938;1964;LWR;Biased Intellectual;Medium;M34076;X
160024;Foreign Minister;Pedro Leão Veloso;1944;1964;LWR;Great Compromiser;Medium;M34077;X
160025;Foreign Minister;Henry Berger;1939;1964;ST;Ideological Crusader;Very Low;M34053;X
160026;Foreign Minister;Oscar Weinschenck;1942;1964;LE;The Cloak N Dagger Schemer;High;M34079;X
160027;Foreign Minister;Mario Pimentel Brandão;1937;1964;SD;The Cloak N Dagger Schemer;High;M34080;X
160028;Foreign Minister;Otavio Mangabeira;1945;1964;SD;Great Compromiser;High;M34033;X
160029;Foreign Minister;Otavio Mangabeira;1937;1964;ML;The Cloak N Dagger Schemer;Low;M34033;X
160030;Foreign Minister;Afranio de Mello Franco;1939;1964;ML;Great Compromiser;High;M34083;X
160031;Foreign Minister;Acyr de Nascimento Paes;1943;1964;ML;Biased Intellectual;Low;M34084;X
160032;Foreign Minister;Paso Fernandes Morã;1943;1964;SC;Ideological Crusader;High;M34086;X
160033;Foreign Minister;S. de Sousa Leão Gracíe;1946;1964;SC;Biased Intellectual;High;M34087;X
160034;Foreign Minister;Raul Fernandes;1947;1964;SC;Great Compromiser;High;M34013;X
160035;Foreign Minister;Joao Neves da Fontoura;1945;1964;SC;General Staffer;High;M34008;X
160036;Foreign Minister;Miguel Costas;1937;1964;FA;Iron Fisted Brute;Low;M34043;X
160037;Foreign Minister;Plinio Salgado;1942;1964;FA;Apologetic Clerk;Medium;M34041;X
160038;Foreign Minister;Newton Cavalcanti;1944;1964;FA;General Staffer;Medium;M34047;X
160039;Minister of Armament;Januario Coelho Neto;1937;1964;LWR;Tank Proponent;High;M34093;X
160040;Minister of Armament;José de Macedo Soares;1939;1964;LWR;Laissez-Faire Capitalist;Medium;M34003;X
160041;Minister of Armament;Getulio Vargas;1941;1964;LWR;Administrative Genius;High;M34001;X
160042;Minister of Armament;Agustin Juarez Folhã;1943;1964;LWR;Corrupt Kleptocrat;Medium;M34096;X
160043;Minister of Armament;Henry Berger;1941;1964;ST;Air Superiority Proponent;Very Low;M34053;X
160044;Minister of Armament;Luis Carlos Prestes;1945;1964;SD;Strategic Air Proponent;Very Low;M34051;X
160045;Minister of Armament;Americo de Almeida;1937;1964;ML;Resource Industrialist;Medium;M34024;X
160046;Minister of Armament;Gastão da Cunha Bahiana;1939;1964;ML;Theoretical Scientist;Medium;M34103;X
160047;Minister of Armament;José Linhares Filho;1940;1964;ML;Laissez-Faire Capitalist;High;M34104;X
160048;Minister of Armament;Eduardo Gomes;1943;1964;ML;Air to Ground Proponent;Medium;M34021;X
160049;Minister of Armament;Elyseu F. de Montarroyos;1945;1964;ML;Air Superiority Proponent;High;M34106;X
160050;Minister of Armament;Washington Luis Pereira;1943;1964;SC;Administrative Genius;Low;M34066;X
160051;Minister of Armament;Afranio de Mello Franco;1942;1964;SC;Battle Fleet Proponent;High;M34083;X
160052;Minister of Armament;Gastão Vidigal;1945;1964;SC;Resource Industrialist;High;M34014;X
160053;Minister of Armament;Gustavo Barroso;1946;1964;SC;Submarine Proponent;Medium;M34044;X
160054;Minister of Armament;Gustavo Barroso;1937;1964;FA;Military Entrepreneur;Medium;M34044;X
160055;Minister of Armament;Waldemar Costa Neto;1941;1964;FA;Infantry Proponent;High;M34112;X
160056;Minister of Armament;Carlos Ferreira de Camargo;1943;1964;FA;Laissez-Faire Capitalist;High;M34113;X
160057;Minister of Security;Pedro Leão Veloso;1937;1964;LWR;Compassionate Gentleman;Medium;M34077;X
160058;Minister of Security;Manuel A. Venâncio;1940;1964;LWR;Man of the People;Low;M34035;X
160059;Minister of Security;Mario Pimentel Brandão;1943;1964;LWR;Crooked Kleptocrat;High;M34080;X
160060;Minister of Security;Carlos Abguar Bastos;1939;1964;ST;Prince of Terror;High;M34055;X
160061;Minister of Security;Ademar de Carvalho Gomes;1944;1964;ST;Man of the People;High;M34119;X
160062;Minister of Security;Guilherme Guinlé de Silvio;1939;1964;SD;Efficient Sociopath;High;M34118;X
160063;Minister of Security;Oscar Weinschenck;1941;1964;SD;Silent Lawyer;High;M34079;X
160064;Minister of Security;Carlos Abguar Bastos;1945;1964;SD;Back Stabber;Low;M34055;X
160065;Minister of Security;Costa Neto;1937;1964;ML;Compassionate Gentleman;Medium;M34015;X
160066;Minister of Security;Mesquito da Costa;1939;1964;ML;Silent Lawyer;High;M34025;X
160067;Minister of Security;Teotonio da Fonseca;1943;1964;ML;Prince of Terror;High;M34126;X
160068;Minister of Security;Raul Fernandes;1943;1964;SC;Back Stabber;High;M34013;X
160069;Minister of Security;Epitacio da Silva Pessoa;1945;1964;SC;Crime Fighter;Medium;M34128;X
160070;Minister of Security;Teotonio da Fonseca;1946;1964;SC;Prince of Terror;High;M34126;X
160071;Minister of Security;Carlos Almeida Neto;1947;1964;SC;Efficient Sociopath;High;M34130;X
160072;Minister of Security;Riccardo Cassiano;1937;1964;FA;Efficient Sociopath;Medium;M34045;X
160073;Minister of Security;Carlos Ferreira de Camargo;1940;1964;FA;Prince of Terror;High;M34113;X
160074;Minister of Security;Carlos Almeida Neto;1943;1964;FA;Back Stabber;High;M34130;X
160075;Head of Military Intelligence;Raulinho Volta Redondo;1939;1964;LWR;Logistics Specialist;High;M34134;X
160076;Head of Military Intelligence;Ahusto de Souza e Silva;1943;1964;LWR;Political Specialist;High;M34056;X
160077;Head of Military Intelligence;Ademar de Carvalho Gomes;1943;1964;ST;Naval Intelligence Specialist;High;M34119;X
160078;Head of Military Intelligence;Manuel A. Venâncio;1945;1964;SD;Technical Specialist;Low;M34035;X
160079;Head of Military Intelligence;Costa Neto;1937;1964;ML;Naval Intelligence Specialist;Medium;M34015;X
160080;Head of Military Intelligence;Mesquito da Costa;1939;1964;ML;Dismal Enigma;High;M34025;X
160081;Head of Military Intelligence;Rodrigo Octavio;1945;1964;ML;Political Specialist;High;M34143;X
160082;Head of Military Intelligence;Pedro Perotti;1943;1964;SC;Dismal Enigma;Medium;M34144;X
160083;Head of Military Intelligence;Riccardo Cassiano;1937;1964;FA;Political Specialist;Medium;M34045;X
160084;Head of Military Intelligence;Carlos Almeida Neto;1944;1964;FA;Logistics Specialist;High;M34130;X
160085;Chief of Staff;Magalhães Barata de Azevedo;1943;1964;LWR;School of Manoeuvre;Medium;M34037;X
160086;Chief of Staff;Luis Carlos Prestes;1939;1964;ST;School of Mass Combat;Undying;M34051;X
160087;Chief of Staff;Nero Fiuza de Castro;1945;1964;SD;School of Mass Combat;Medium;M34031;X
160088;Chief of Staff;Henrique Teixeira Lott;1937;1964;ML;School of Fire Support;Medium;M34027;X
160089;Chief of Staff;Argemiro Assis;1939;1964;ML;School of Defence;Medium;M34154;X
160090;Chief of Staff;Augusto da Gama Leiros;1943;1964;ML;School of Manoeuvre;Medium;M34155;X
160091;Chief of Staff;Mesquito da Costa;1945;1964;ML;School of Mass Combat;Medium;M34025;X
160092;Chief of Staff;Gaspar Dutra;1943;1964;SC;School of Mass Combat;Medium;M34011;X
160093;Chief of Staff;Joao Neves da Fontoura;1945;1964;SC;School of Defence;High;M34008;X
160094;Chief of Staff;Newton Cavalcanti;1937;1964;FA;School of Psychology;Medium;M34047;X
160095;Chief of Staff;Tomas Sebistao de Mendonca;1943;1964;FA;School of Mass Combat;Medium;M34161;X
160096;Chief of Army;Gaspar Dutra;1937;1964;LWR;Static Defence Doctrine;Medium;M34011;X
160097;Chief of Army;Silo Meireles;1943;1964;LWR;Elastic Defence Doctrine;Very Low;M34058;X
160098;Chief of Army;Mario da Silva Camargo;1941;1964;ST;Guns and Butter Doctrine;High;M34165;X
160099;Chief of Army;Magalhães Barata de Azevedo;1939;1964;SD;Armoured Spearhead Doctrine;Medium;M34037;X
160100;Chief of Army;Nero Fiuza de Castro;1945;1964;SD;Elastic Defence Doctrine;Medium;M34031;X
160101;Chief of Army;Henrique Teixeira Lott;1937;1964;ML;Decisive Battle Doctrine;Medium;M34027;X
160102;Chief of Army;Argemiro Assis;1939;1964;ML;Static Defence Doctrine;Medium;M34154;X
160103;Chief of Army;Augusto da Gama Leiros;1943;1964;ML;Armoured Spearhead Doctrine;Medium;M34155;X
160104;Chief of Army;Mesquito da Costa;1945;1964;ML;Elastic Defence Doctrine;Medium;M34025;X
160105;Chief of Army;Goes Monteiro;1943;1964;SC;Guns and Butter Doctrine;High;M34018;X
160106;Chief of Army;Gaspar Dutra;1945;1964;SC;Static Defence Doctrine;Medium;M34011;X
160107;Chief of Army;Tomas Sebistao de Mendonca;1937;1964;FA;Guns and Butter Doctrine;Medium;M34161;X
160108;Chief of Army;Newton Cavalcanti;1943;1964;FA;Decisive Battle Doctrine;Medium;M34047;X
