DOM;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
320001;Head of State;Rafél Trujillo Molina;1933;1964;PA;Barking Buffoon;High;M49001;X
320002;Head of Government;Jacinto Bienvenido Peynado;1933;1964;PA;Naive Optimist;High;M49002;X
320003;Foreign Minister;Elias Brache;1933;1964;PA;Great Compromiser;Medium;M49003;X
320004;Minister of Armament;Manuel de Jesús Troncoso;1933;1964;PA;Infantry Proponent;Medium;M49004;X
320005;Minister of Security;Rafél Trujillo Molina;1933;1964;PA;Prince of Terror;Medium;M49001;X
320006;Head of Military Intelligence;Jesus da Costa Ruiz;1933;1964;PA;Technical Specialist;Medium;M49006;X
320007;Chief of Staff;Rafél Trujillo Molina;1933;1964;PA;School of Defence;Low;M49001;X
320008;Chief of Army;Rafél Trujillo Molina;1933;1964;PA;Static Defence Doctrine;Low;M49008;X
320009;Chief of Navy;Humberto Rojas;1933;1964;PA;Indirect Approach Doctrine;Medium;M49009;X
320010;Chief of Air Force;Anibal Vallejo Sosa;1933;1964;PA;Air Superiority Doctrine;Low;M49010;X
320011;Head of State;Jacinto Bienvenido Peynado;1938;1964;PA;Insignificant Layman;High;M49002;X
320012;Head of State;Manuel de Jesús Troncoso;1940;1964;PA;Benevolent Gentleman;High;M49004;X
320013;Head of State;Elias Brache;1938;1964;SC;Weary Stiffneck;High;M49003;X
320014;Head of State;Rafael Espaillat;1946;1964;SC;Popular Figurehead;High;M49035;X
320015;Head of State;Frank Feliz Miranda;1938;1964;LWR;Popular Figurehead;High;M49030;X
320016;Head of State;Francisco Prats Ramirez;1942;1964;LWR;Autocratic Charmer;High;M49037;X
320017;Head of Government;Manuel de Jesús Troncoso;1938;1964;PA;Silent Workhorse;High;M49004;X
320018;Head of Government;Rafél Trujillo Molina;1940;1964;PA;Backroom Backstabber;High;M49001;X
320019;Head of Government;Alberto Garcia Vienda;1938;1964;SC;Happy Amateur;High;M49015;X
320020;Head of Government;Rafael Espaillat;1942;1964;SC;Political Protege;High;M49035;X
320021;Head of Government;Rafael Bonelly Fondeur;1946;1964;SC;Smiling Oilman;High;M49042;X
320022;Head of Government;Francisco Prats Ramirez;1938;1964;LWR;Happy Amateur;High;M49037;X
320023;Head of Government;Mario Imbert McGregor;1942;1964;SD;Corporate Suit;High;M49026;X
320024;Head of Government;Juan Bosch;1946;1964;SD;Old General;High;M49021;X
320025;Foreign Minister;Ernesto Bonetti-Burgos;1933;1964;PA;Apologetic Clerk;Medium;M49046;X
320026;Foreign Minister;Julio Ortega Frier;1937;1964;PA;The Cloak N Dagger Schemer;Medium;M49047;X
320027;Foreign Minister;Arturo Despradel;1938;1964;PA;Great Compromiser;Very High;M49048;X
320028;Foreign Minister;Manuel Peña Battle;1943;1964;PA;General Staffer;Very High;M49049;X
320029;Foreign Minister;Jesus de Galindez;1942;1964;SC;Ideological Crusader;Medium;M49013;X
320030;Foreign Minister;Emilio de los Santos;1946;1964;SC;Iron Fisted Brute;Medium;M49052;X
320031;Foreign Minister;Antonio Leyba Pou;1938;1964;LWR;Ideological Crusader;Medium;M49025;X
320032;Foreign Minister;Juan Bosch;1946;1964;SD;Iron Fisted Brute;Low;M49021;X
320033;Minister of Armament;Ignacio Bajordo;1940;1964;PA;Administrative Genius;High;M49056;X
320034;Minister of Armament;Rafél Trujillo Molina;1942;1964;PA;Corrupt Kleptocrat;Very High;M49001;X
320035;Minister of Armament;Luis Amiamo Tio;1946;1964;PA;Corrupt Kleptocrat;Low;M49058;X
320036;Minister of Armament;Jesus de Galindez;1938;1964;SC;Laissez-Faire Capitalist;Medium;M49013;X
320037;Minister of Armament;Rafael Bonelly Fondeur;1942;1964;SC;Infantry Proponent;Medium;M49042;X
320038;Minister of Armament;Jorge Balaguer;1946;1964;SC;Administrative Genius;Low;M49014;X
320039;Minister of Armament;Francisco Cutricos;1938;1964;SD;Corrupt Kleptocrat;Low;M49024;X
320040;Minister of Armament;Mario Imbert McGregor;1946;1964;SD;Resource Industrialist;Medium;M49026;X
320041;Minister of Security;Jacinto Bienvenido Peynado;1938;1964;PA;Crooked Kleptocrat;High;M49002;X
320042;Minister of Security;Donald Reid Cabral;1944;1964;PA;Compassionate Gentleman;Low;M49066;X
320043;Minister of Security;Hector Trujillo Molina;1946;1964;PA;Crooked Kleptocrat;High;M49067;X
320044;Minister of Security;Rafael Espaillat;1938;1964;SC;Efficient Sociopath;Medium;M49035;X
320045;Minister of Security;Alberto Garcia Vienda;1942;1964;SC;Silent Lawyer;Medium;M49015;X
320046;Minister of Security;Antonio Leyba Pou;1938;1964;LWR;Man of the People;Medium;M49025;X
320047;Head of Military Intelligence;Manuel de Jesús Troncoso;1940;1964;PA;Naval Intelligence Specialist;Medium;M49004;X
320048;Head of Military Intelligence;Jorge Balaguer;1942;1964;PA;Logistics Specialist;Medium;M49014;X
320049;Head of Military Intelligence;Hector Trujillo Molina;1946;1964;PA;Political Specialist;High;M49067;X
