GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
305001;Head of State;Jorge Ubico Castaneda;1933;1964;PA;Pig-headed Isolationist;High;M46001;X
305002;Head of Government;Jorge Ubico Castaneda;1933;1964;PA;Silent Workhorse;High;M46001;X
305003;Foreign Minister;Alfredo Skinner Klee;1933;1964;PA;The Cloak N Dagger Schemer;Medium;M46003;X
305004;Minister of Armament;Guillermo Flores Arendano;1933;1964;PA;Infantry Proponent;Medium;M46004;X
305005;Minister of Security;T. Castro Dominguez;1933;1964;PA;Crooked Kleptocrat;Medium;M46005;X
305006;Head of Military Intelligence;Eduardo Villagran Ariza;1933;1964;PA;Logistics Specialist;Medium;M46006;X
305007;Chief of Staff;Federico Ponce Vaides;1933;1964;PA;School of Manoeuvre;Medium;M46007;X
305008;Chief of Army;Jorge Ubico Castaneda;1933;1964;PA;Static Defence Doctrine;High;M46001;X
305009;Chief of Navy;Tomas Mendoza Urribe;1933;1964;PA;Indirect Approach Doctrine;Medium;M46009;X
305010;Chief of Air Force;R. Buenaventure Pineda;1933;1964;PA;Army Aviation Doctrine;Medium;M46010;X
305011;Head of State;Jacopo Arbenz Guzman;1944;1964;LWR;Popular Figurehead;High;M46021;X
305012;Head of State;Juan Arevalo Bermejo;1945;1964;SD;Die-hard Reformer;High;M46022;X
305013;Head of State;Jorge Torriello Garrido;1945;1964;SL;Resigned Generalissimo;High;M46011;X
305014;Head of State;R. Buenaventure Pineda;1945;1964;SC;Resigned Generalissimo;High;M46010;X
305015;Head of State;Federico Ponce Vaides;1944;1964;PA;Barking Buffoon;High;M46007;X
305016;Head of Government;Francisco Javier Arana;1944;1964;LWR;Naive Optimist;High;M46027;X
305017;Head of Government;Juan Arevalo Bermejo;1945;1964;SD;Backroom Backstabber;High;M46022;X
305018;Head of Government;Manuel Orellana;1945;1964;SL;Smiling Oilman;High;M46012;X
305019;Head of Government;Eduardo Villagran Ariza;1945;1964;SC;Political Protege;High;M46006;X
305020;Head of Government;Manuel Arroyo;1937;1964;FA;Old Admiral;High;M46031;X
305021;Head of Government;R. Buenaventure Pineda;1944;1964;PA;Old Airmarshal;High;M46010;X
305022;Head of Government;Eduardo Villagran Ariza;1944;1964;PA;Happy Amateur;High;M46006;X
