HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
105001;Head of State;Miklós Horthy de Nagybánya;1933;1964;FA;Resigned Generalissimo;High;M21001;X
105002;Head of Government;Gyula Gömbös de Jakfa;1933;1964;FA;Flamboyant Tough Guy;High;M21002;X
105003;Foreign Minister;Kálmán Kánya;1933;1964;FA;Great Compromiser;Medium;M21003;X
105004;Minister of Armament;Tihamér Fabinyi;1933;1964;FA;Military Entrepreneur;Medium;M21004;X
105005;Minister of Security;Miklós Kozma;1933;1964;FA;Prince of Terror;Medium;M21005;X
105006;Head of Military Intelligence;Gyula Gömbös de Jakfa;1933;1964;FA;Political Specialist;High;M21002;X
105007;Chief of Staff;Gustáv Henneyey;1933;1964;FA;School of Mass Combat;High;M21007;X
105008;Chief of Army;István Shvoy;1933;1964;FA;Decisive Battle Doctrine;Medium;M21008;X
105009;Chief of Navy;Miklós Horthy de Nagybánya;1933;1964;FA;Decisive Naval Battle Doctrine;Medium;M21001;X
105010;Chief of Air Force;László Tomor;1933;1964;FA;Air Superiority Doctrine;Medium;M21010;X
105011;Head of State;Ferenc Szálasi;1933;1964;NS;Powerhungry Demagogue;High;M21021;X
105012;Head of State;Miklós Horthy de Nagybánya;1944;1964;NS;Resigned Generalissimo;High;M21001;X
105013;Head of State;Otto I Habsburg;1945;1964;PA;Benevolent Gentleman;High;M21044;X
105014;Head of State;Károly Peyer;1945;1964;SD;Insignificant Layman;High;M21045;X
105015;Head of State;Zoltán Tildy;1945;1964;SC;Autocratic Charmer;High;M21011;X
105016;Head of State;Zoltán Tildy;1947;1964;ST;Autocratic Charmer;High;M21011;X
105017;Head of State;Béla Zsedényi;1933;1964;ST;Stern Imperialist;High;M21031;X
105018;Head of State;Lászó Rajk;1939;1964;ST;Autocratic Charmer;High;M21035;X
105019;Head of State;Mátyás Rákosi;1944;1964;ST;Powerhungry Demagogue;High;M21032;X
105020;Head of Government;Döme Sztójay;1939;1964;NS;Happy Amateur;High;M21051;X
105021;Head of Government;Jenö Rácz;1944;1964;NS;Political Protege;High;M21022;X
105022;Head of Government;K. Darányi de Pusztaszentgyörgyi;1933;1964;FA;Smiling Oilman;High;M21053;X
105023;Head of Government;Béla Imrédy de Omoravia;1938;1964;FA;Corporate Suit;High;M21024;X
105024;Head of Government;Pál Teleki de Szek;1939;1964;FA;Naive Optimist;High;M21055;X
105025;Head of Government;László Bárdossy;1941;1964;FA;Silent Workhorse;High;M21056;X
105026;Head of Government;M. Kállay de Nagy-Kalló;1942;1964;FA;Happy Amateur;High;M21057;X
105027;Head of Government;Géza Lakatos;1944;1964;FA;Old General;High;M21058;X
105028;Head of Government;Béla Miklós de Dalnók;1944;1964;PA;Corporate Suit;High;M21059;X
105029;Head of Government;Karoly Bartha von Dálnokfalva;1945;1964;PA;Old General;High;M21060;X
105030;Head of Government;Arpád Szakasits;1945;1964;SD;Happy Amateur;High;M21061;X
105031;Head of Government;Zoltán Tildy;1933;1964;SC;Silent Workhorse;High;M21011;X
105032;Head of Government;Ferenc Nagy;1946;1964;SC;Happy Amateur;High;M21012;X
105033;Head of Government;László Rajk;1933;1964;ST;Flamboyant Tough Guy;High;M21035;X
105034;Head of Government;Mátyas Rákosi;1944;1964;ST;Local Tyrant;High;M21032;X
105035;Foreign Minister;Döme Sztójay;1944;1964;NS;Ideological Crusader;Medium;M21051;X
105036;Foreign Minister;Gábor Kemény;1944;1964;NS;Great Compromiser;Medium;M21067;X
105037;Foreign Minister;Béla Imrédy de Omoravia;1938;1964;FA;Ideological Crusader;Medium;M21024;X
105038;Foreign Minister;István Csáky;1939;1964;FA;The Cloak N Dagger Schemer;Medium;M21070;X
105039;Foreign Minister;László Bárdossy;1941;1964;FA;Iron Fisted Brute;Medium;M21056;X
105040;Foreign Minister;Gustáv Henneyey;1944;1964;FA;General Staffer;High;M21007;X
105041;Foreign Minister;Edgar Keksz;1944;1964;PA;Iron Fisted Brute;Medium;M21073;X
