ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
25001;Head of State;H.M. Vittorio Emanuele III;1933;1964;FA;Weary Stiffneck;High;M3001;X
25002;Head of Government;Benito Mussolini;1933;1964;FA;Imperialist Buffoon;High;2688;X
25003;Foreign Minister;Gian Galeazzo Ciano;1933;1964;FA;Ideological Crusader;Very High;M3003;X
25004;Minister of Armament;Benito Mussolini;1933;1964;FA;Resource Industrialist;Very High;2688;X
25005;Minister of Security;Guido Buffarini-Guidi;1933;1964;FA;Man of the People;Very High;M3005;X
25006;Head of Military Intelligence;Cesare Amé;1933;1964;FA;Industrial Specialist;Very High;M3006;X
25007;Chief of Staff;Francesco Grazioli;1933;1964;FA;School of Mass Combat;Medium;M3007;X
25008;Chief of Army;Alberto Pariani;1933;1964;FA;Guns and Butter Doctrine;Medium;M3008;X
25009;Chief of Navy;Domenico Cavagnari;1933;1964;FA;Decisive Naval Battle Doctrine;Medium;M3009;X
25010;Chief of Air Force;Giuseppe Valle;1933;1964;FA;Army Aviation Doctrine;Medium;M3010;X
25011;Minister of Armament;A. de Marinis de Ricia;1933;1964;SL;Administrative Genius;High;M3014;X
25012;Head of Military Intelligence;Umberto Ricci;1933;1964;SC;Industrial Specialist;High;M3015;X
25013;Chief of Army;Enrico Mattei;1943;1964;SC;Decisive Battle Doctrine;High;M3018;X
25014;Head of State;H.M. Vittorio Emanuele III;1933;1964;PA;Weary Stiffneck;High;M3001;X
25015;Head of State;H.M. Vittorio Emanuele III;1933;1964;SC;Weary Stiffneck;High;M3001;X
25016;Head of State;Benito Mussolini;1933;1964;NS;Barking Buffoon;High;2688;X
25017;Head of State;Paolo Thaon di Revel;1933;1964;NS;Resigned Generalissimo;High;M3035;X
25018;Head of State;H.M. Umberto II;1933;1964;PA;Autocratic Charmer;High;M3011;X
25019;Head of State;H.M. Umberto II;1933;1964;SC;Autocratic Charmer;High;M3011;X
25020;Head of State;Alcide de Gasperi;1933;1964;SC;Die-hard Reformer;High;M3038;X
25021;Head of State;Enrico de Nicola;1933;1964;SC;Benevolent Gentleman;High;M3039;X
