PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
405001;Head of State;Harmodio Arías de la Madrid;1933;1964;ML;Autocratic Charmer;High;M95001;X
405002;Head of Government;Harmodio Arías de la Madrid;1933;1964;ML;Corporate Suit;High;M95001;X
405003;Foreign Minister;Narciso Garay Díaz;1933;1964;SL;Ideological Crusader;Medium;M95003;X
405004;Minister of Armament;Daniel C. Pinzon;1933;1964;ML;Laissez-Faire Capitalist;Medium;M95004;X
405005;Minister of Security;Ignacio E. Mendoza;1933;1964;SL;Back Stabber;Medium;M95005;X
405006;Head of Military Intelligence;Ezequeil Fernandez Jaen;1933;1964;ML;Dismal Enigma;Medium;M95006;X
405007;Chief of Staff;José Remón Cantera;1933;1964;SL;School of Psychology;Medium;M95007;X
405008;Chief of Army;Bolivar Villarino;1933;1964;ML;Guns and Butter Doctrine;Medium;M95008;X
405009;Chief of Navy;Juan A. Hernandez;1933;1964;SL;Decisive Naval Battle Doctrine;Medium;M95009;X
405010;Chief of Air Force;José Remón Cantera;1933;1964;ML;Naval Aviation Doctrine;Medium;M95007;X
405011;Head of State;Juan Demosthenes Arosemana;1933;1964;SC;Resigned Generalissimo;High;M95031;X
405012;Head of State;Arnulfo Arías de la Madrid;1940;1964;ML;Popular Figurehead;High;M95032;X
405013;Head of State;Riccardo de la Guardia;1941;1964;PA;Powerhungry Demagogue;High;M95013;X
405014;Head of State;Arnulfo Arías de la Madrid;1945;1964;SL;Autocratic Charmer;High;M95034;X
405015;Head of State;Enrique Jimenez Brín;1946;1964;SL;Stern Imperialist;High;M95035;X
405016;Head of Government;Carlos Zavala;1933;1964;SC;Old Admiral;High;M95036;X
405017;Head of Government;Arnulfo Arías de la Madrid;1940;1964;ML;Corporate Suit;High;M95032;X
405018;Head of Government;Augusto Samuel Boyd;1941;1964;PA;Ambitious Union Boss;High;M95038;X
405019;Head of Government;Manuel D. Granados;1945;1964;SL;Silent Workhorse;High;M95039;X
405020;Head of Government;José Augustín Arango;1946;1964;PA;Political Protege;High;M95011;X
405021;Foreign Minister;Raul de Roux y García;1933;1964;ML;Biased Intellectual;Medium;M95041;X
405022;Foreign Minister;José Lefebvré de la Ossa;1933;1964;SC;Great Compromiser;Medium;M95042;X
405023;Foreign Minister;Narciso Garay Díaz;1938;1964;PA;Apologetic Clerk;Medium;M95003;X
405024;Foreign Minister;Juan Demosthenes Arosemana;1938;1964;SC;The Cloak N Dagger Schemer;Medium;M95031;X
405025;Foreign Minister;Augusto Samuel Boyd;1940;1964;ML;Iron Fisted Brute;Medium;M95038;X
405026;Foreign Minister;Riccardo de la Guardia;1941;1964;PA;Biased Intellectual;High;M95013;X
405027;Foreign Minister;Octavio Fábrega López;1942;1964;SC;Iron Fisted Brute;High;M95047;X
405028;Foreign Minister;Samuel Luis Aranga;1945;1964;PA;Great Compromiser;High;M95048;X
405029;Foreign Minister;Roberto Jímenez de Roux;1945;1964;ML;Great Compromiser;High;M95049;X
405030;Foreign Minister;Horacío Alfaro Díaz;1946;1964;PA;General Staffer;High;M95050;X
405031;Foreign Minister;Hermaño Castillo Ballidó;1947;1964;SC;Apologetic Clerk;High;M95051;X
405032;Minister of Armament;Nestor Urribe Suarez;1933;1964;SC;Infantry Proponent;Medium;M95052;X
405033;Minister of Armament;José Pezet;1940;1964;SL;Resource Industrialist;Medium;M95053;X
405034;Minister of Armament;Enrique Jiménez Brín;1945;1964;SL;Tank Proponent;Medium;M95035;X
405035;Minister of Armament;Ignacio E. Mendoza;1946;1964;SC;Infantry Proponent;Medium;M95005;X
405036;Minister of Security;Raoul Arias Amador;1933;1964;SC;Man of the People;Medium;M95015;X
