TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
45001;Head of State;Kemal Atatürk;1933;1964;PA;Resigned Generalissimo;High;3379;X
45002;Head of Government;Mustafa Ismet Inönü;1933;1964;PA;Political Protege;High;3380;X
45003;Foreign Minister;Tewfik Rüstü Aras;1933;1964;PA;Biased Intellectual;Medium;M12003;X
45004;Minister of Armament;Zekai Apaydin;1933;1964;SC;Resource Industrialist;Medium;M12004;X
45005;Minister of Security;Sükrü Kaya;1933;1964;SC;Man of the People;Medium;M12005;X
45006;Head of Military Intelligence;Sükrü Ali Ogel;1933;1964;PA;Industrial Specialist;Medium;M12006;X
45007;Chief of Staff;Fevzi Cakmak;1933;1964;PA;School of Defence;Medium;3381;X
45008;Chief of Army;Mehmet Nuri Yamut;1933;1964;PA;Static Defence Doctrine;Medium;M12008;X
45009;Chief of Navy;Mehmet Ali Üngen;1933;1964;PA;Base Control Doctrine;Medium;M12009;X
45010;Chief of Air Force;Ali Örlungat;1933;1964;PA;Army Aviation Doctrine;Medium;M12010;X
45011;Head of State;Mustafa Ismet Inönü;1938;1964;SC;Pig-headed Isolationist;High;3380;X
45012;Head of Government;Mahmut Celal Bayar;1938;1964;SC;Silent Workhorse;High;3382;X
45013;Head of Government;Refik Saydam;1939;1964;ML;Smiling Oilman;High;3383;X
45014;Head of Government;Sükrü Saracoglu;1942;1964;ML;Flamboyant Tough Guy;High;M12034;X
45015;Foreign Minister;Sükrü Saracoglu;1938;1964;SC;Biased Intellectual;High;M12034;X
45016;Foreign Minister;Said Menemencioglu;1942;1964;ML;Great Compromiser;Medium;M12036;X
45017;Foreign Minister;Hassan Saka;1944;1964;SC;Ideological Crusader;Medium;M12038;X
45018;Foreign Minister;Necmettin Sadik Sadak;1947;1964;SC;General Staffer;Medium;M12039;X
45019;Foreign Minister;Refet Bele;1933;1964;PA;General Staffer;Medium;M12040;X
45020;Foreign Minister;Mustafa Ismet Inönü;1937;1964;SC;Great Compromiser;Medium;3380;X
45021;Foreign Minister;Ali Fehti Okyar;1937;1964;ML;Biased Intellectual;Medium;M12013;X
45022;Foreign Minister;Abdülhalik Renda;1943;1964;ML;Apologetic Clerk;Medium;M12043;X
45023;Minister of Armament;Nurullah Esat Sümer;1943;1964;ML;Corrupt Kleptocrat;Medium;M12045;X
45024;Minister of Armament;Adnan Menderes;1946;1964;SC;Theoretical Scientist;Medium;M12046;X
45025;Minister of Armament;Mustafa Ismet Inönü;1933;1964;SC;Administrative Genius;Medium;3380;X
45026;Minister of Armament;Fuad Calistar;1933;1964;SC;Infantry Proponent;Medium;M12048;X
45027;Minister of Armament;Kazim Özalp;1933;1964;SC;Military Entrepreneur;Medium;M12049;X
45028;Minister of Armament;Tevfik Rüsta Aras;1939;1964;ML;Theoretical Scientist;Medium;M12050;X
45029;Minister of Armament;Mehmet Günaltay;1940;1964;SC;Tank Proponent;Medium;M12051;X
45030;Minister of Armament;Münir Bürsen;1946;1964;ML;Laissez-Faire Capitalist;Medium;M12052;X
45031;Minister of Armament;Mustafa Renda;1938;1964;ML;Military Entrepreneur;Medium;M12054;X
45032;Minister of Security;Hüsnü Cakir;1943;1964;ML;Crooked Kleptocrat;Medium;M12056;X
45033;Minister of Security;Hilmi Uran;1944;1964;ML;Crime Fighter;Medium;M12057;X
45034;Minister of Security;Memduh Tagmac;1946;1964;ML;Prince of Terror;Medium;M12059;X
45035;Minister of Security;Adnan Menderes;1947;1964;ML;Back Stabber;Medium;M12046;X
45036;Minister of Security;Abdul Naci Tinaz;1938;1964;ML;Silent Lawyer;Medium;M12061;X
45037;Minister of Security;Mahmut Celal Bayar;1933;1964;SC;Back Stabber;Medium;3382;X
45038;Minister of Security;Abbas Cevat;1939;1964;SD;Crooked Kleptocrat;Medium;M12025;X
45039;Minister of Security;Saffet Arikan;1940;1964;SC;Crime Fighter;Medium;M12058;X
45040;Minister of Security;Ali Riza Türel;1940;1964;ML;Efficient Sociopath;Medium;M12065;X
45041;Minister of Security;Orhan Gökay;1941;1964;ML;Silent Lawyer;Medium;M12015;X
45042;Minister of Security;Mehmet Recep Peker;1941;1964;SC;Compassionate Gentleman;Medium;M12067;X
45043;Head of Military Intelligence;Mustafa Renda;1938;1964;SC;Dismal Enigma;High;M12054;X
45044;Head of Military Intelligence;Ali Rüza Artunkal;1943;1964;ML;Logistics Specialist;Medium;M12069;X
45045;Head of Military Intelligence;Mumtaz Ökmen;1946;1964;ML;Industrial Specialist;Medium;M12070;X
45046;Head of Military Intelligence;Mehmet Recep Peker;1947;1964;ML;Industrial Specialist;High;M12067;X
45047;Head of Military Intelligence;Fuad Köprülü;1938;1964;ML;Naval Intelligence Specialist;Medium;M12026;X
45048;Chief of Staff;Abdul Naci Tinaz;1938;1964;SC;School of Fire Support;Medium;M12061;X
45049;Chief of Staff;Ali Örlungat;1943;1964;ML;School of Mass Combat;Medium;M12010;X
45050;Chief of Staff;Abdurrahman Gürman;1946;1964;ML;School of Manoeuvre;Medium;M12075;X
45051;Chief of Army;Mustafa Eldelhun;1943;1964;ML;Armoured Spearhead Doctrine;Medium;M12077;X
45052;Chief of Army;Cemil Toüdemür;1946;1964;ML;Decisive Battle Doctrine;Medium;M12078;X
45053;Chief of Navy;Ali Fuat Cebesoy;1938;1964;SC;Indirect Approach Doctrine;Medium;M12079;X
45054;Chief of Navy;Vehbi Koc;1943;1964;ML;Decisive Naval Battle Doctrine;Medium;M12080;X
