U69;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1160001;Head of State;Lázaro Cárdenas;1933;1964;SD;Autocratic Charmer;High;M36001;X
1160002;Head of Government;Lázaro Cárdenas;1933;1964;SD;Flamboyant Tough Guy;High;M36001;X
1160003;Foreign Minister;Eduardo Hay;1933;1964;SD;Great Compromiser;Medium;M36003;X
1160004;Minister of Armament;Enrique Estrada Reynoso;1933;1964;SD;Infantry Proponent;High;M36004;X
1160005;Minister of Security;Francisco U. Benavides;1933;1964;SD;Man of the People;Medium;M36005;X
1160006;Head of Military Intelligence;Plutarco E.Calles;1933;1964;SD;Political Specialist;Medium;M36006;X
1160007;Chief of Staff;Benjamin G. Hill;1933;1964;SD;School of Defence;Very High;M36007;X
1160008;Chief of Army;Pablo Quiroga Escamillo;1933;1964;SD;Static Defence Doctrine;Medium;M36008;X
1160009;Chief of Navy;Hector Meixueiro;1933;1964;SD;Open Seas Doctrine;Medium;M36009;X
1160010;Chief of Air Force;Gustavo Salinas Camina;1933;1964;SD;Air Superiority Doctrine;Medium;M36010;X
1160011;Head of State;Dionisio Encina;1933;1983;ST;Ruthless Powermonger;Very High;U69 - Dionisio Encina;X
1160012;Head of Government;Dionisio Encina;1933;1983;ST;Backroom Backstabber;Very High;U69 - Dionisio Encina;X
1160013;Foreign Minister;Vicente Lombardo Toledano;1933;1969;ST;Ideological Crusader;Very High;U69 - Vicente Lombardo Toledano;X
1160014;Minister of Armament;Amalia González Caballero;1933;1986;ST;Infantry Proponent;Very High;U69 - Amalia González Caballero;X
1160015;Minister of Security;David Alfaro Siqueiros;1933;1972;ST;Prince of Terror;Very High;U69 - David Alfaro Siqueiros;X
1160016;Head of Military Intelligence;David Alfaro Siqueiros;1933;1972;ST;Political Specialist;Very High;U69 - David Alfaro Siqueiros;X
1160017;Chief of Staff;Antonio Pujol;1933;1995;ST;School of Mass Combat;Very High;U69 - Antonio Pujol;X
1160018;Chief of Army;Antonio Pujol;1933;1995;ST;Static Defence Doctrine;Very High;U69 - Antonio Pujol;X
1160019;Chief of Navy;Antonio Pujol;1933;1995;ST;Base Control Doctrine;Very High;U69 - Antonio Pujol;X
1160020;Chief of Air Force;Antonio Pujol;1933;1995;ST;Army Aviation Doctrine;Very High;U69 - Antonio Pujol;X
1160021;Head of State;Manuel Avila Camacho;1940;1964;SD;Stern Imperialist;High;M36032;X
1160022;Head of State;Miguel Aleman Valdes;1946;1964;SD;Benevolent Gentleman;High;M36033;X
1160023;Head of State;Adolfo Ruiz Cortines;1952;1964;SD;Insignificant Layman;High;M36065;X
1160024;Head of State;Adolfo Lopez Mateos;1958;1970;SD;Popular Figurehead;Medium;MEX - Adolfo Lopez Mateos;X
1160025;Head of State;Gustavo Díaz Ordaz;1964;1980;SD;Ruthless Powermonger;Medium;MEX - Gustavo Díaz Ordaz;X
1160026;Head of State;Luis Echeverría Álvarez;1970;2020;SD;Autocratic Charmer;Medium;MEX - Luis Echeverría Alvarez;X
1160027;Head of State;José López Portillo;1976;2005;SD;Weary Stiffneck;Medium;MEX - José López Portillo;X
1160028;Head of State;Miguel de la Madrid;1982;2010;SD;Stern Imperialist;Medium;MEX - Miguel de la Madrid;X
1160029;Head of State;Carlos Salinas de Gortari;1988;2020;SL;Die-hard Reformer;Medium;MEX - Carlos Salinas de Gortari;X
1160030;Head of State;Ernesto Zedillo;1994;2020;SL;Autocratic Charmer;Medium;MEX - Ernesto Zedillo;X
1160031;Head of State;Luis Hector Álvarez;1958;2020;ML;Die-hard Reformer;Medium;MEX - Luis Hector Alvarez;X
1160032;Head of State;José González Torres;1964;1999;ML;Stern Imperialist;Medium;MEX - José González Torres;X
1160033;Head of State;Efraín González Morfín;1970;2013;ML;Insignificant Layman;Medium;MEX - Efraín González Morfín;X
1160034;Head of State;Manuel González Hinojosa;1976;2006;ML;Weary Stiffneck;Medium;MEX - Manuel González Hinojosa;X
1160035;Head of State;Pablo Emilio Madero;1982;2008;ML;Benevolent Gentleman;Medium;MEX - Pablo Emilio Madero;X
1160036;Head of State;Manuel Clouthier;1988;1990;ML;Die-hard Reformer;Medium;MEX - Manuel Clouthier;X
1160037;Head of State;Diego Fernández de Cevallos;1994;2020;ML;Barking Buffoon;Medium;MEX - Diego Fernández de Cevallos;X
1160038;Head of State;Amalia González Caballero;1969;1986;ST;Autocratic Charmer;Very High;U69 - Amalia González Caballero;X
1160039;Head of State;José Chávez Morado;1970;2003;ST;Ruthless Powermonger;High;U69 - José Chávez Morado;X
