UAP;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1310201;Head of State;W.E.B. DuBois;1933;1964;LWR;Stern Imperialist;High;UAP - W E B DuBois;X
1310202;Head of Government;A. Philip Randolph;1933;1964;LWR;Ambitious Union Boss;High;UAP - Asa Philip Randolph;X
1310203;Foreign Minister;Channing H. Tobias;1933;1964;LWR;Great Compromiser;Very High;UAP - Channing H Tobias;X
1310204;Minister of Armament;Frank Crosswaith;1933;1964;LWR;Mixed Economy;Very High;UAP - Frank Crosswaith;X
1310205;Minister of Security;A. Philip Randolph;1933;1964;LWR;Efficient Sociopath;Very High;UAP - Asa Philip Randolph;X
1310206;Head of Military Intelligence;A. Philip Randolph;1933;1964;LWR;Political Specialist;Very High;UAP - Asa Philip Randolph;X
1310207;Chief of Staff;Benjamin Oliver Davis Sr.;1933;1964;LWR;School of Psychology;Very High;UAP - Benjamin Oliver Davis Sr;X
1310208;Chief of Army;Benjamin Oliver Davis Sr.;1933;1964;LWR;Armoured Spearhead Doctrine;Very High;UAP - Benjamin Oliver Davis Sr;X
1310209;Chief of Navy;Hugh Mulzac;1933;1964;LWR;Base Control Doctrine;Very High;UAP - Hugh Mulzac;X
1310210;Chief of Air Force;Eugene Bullard;1933;1964;LWR;Air Superiority Doctrine;Very High;UAP - Eugene Bullard;X
