UBO;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1320001;Head of State;H.M. Javier I de Borbón-Parma;1933;1964;FA;Autocratic Charmer;High;M10034;X
1320002;Head of Government;Manuel Fal Conde;1933;1964;FA;Political Protege;High;M10049;X
1320003;Foreign Minister;Melchor Ferrer Dalmau;1933;1964;FA;Biased Intellectual;Very High;UBO - Melchor Ferrer Dalmau;X
1320004;Minister of Armament;Juan Sáenz-Díez García;1933;1964;FA;Administrative Genius;Very High;UBO - Juan Sáenz-Díez García;X
1320005;Minister of Security;Tomás Domínguez Arévalo;1933;1964;FA;Prince of Terror;Very High;M10099;X
1320006;Head of Military Intelligence;Joaquín Bau Nolla;1933;1964;FA;Political Specialist;Very High;M10095;X
1320007;Chief of Staff;Ricardo de Rada Peral;1933;1964;FA;School of Mass Combat;Very High;M10166;X
1320008;Chief of Army;Ricardo de Rada Peral;1933;1964;FA;Static Defence Doctrine;Very High;M10166;X
1320009;Chief of Navy;Francisco Núñez de Olaneta;1933;1964;FA;Base Control Doctrine;High;M10019;X
1320010;Chief of Air Force;J. de Clairac de la Colina;1933;1964;FA;Vertical Envelopment Doctrine;Very High;M10252;X
1320011;Head of State;H.M. Javier I de Borbón-Parma;1963;1978;FA;Autocratic Charmer;High;UBO - Prince Xavier of Bourbon-Parma;X
1320012;Head of State;H.M. Carlos VII de Borbón-Parma;1977;2011;FA;Insignificant Layman;High;UBO - Prince Carlos Hugo of Bourbon-Parma;X
1320013;Head of State;H.M. Enrique V de Borbón-Parma;1977;2020;NS;Die-hard Reformer;High;UBO - Prince Sixtus Henry of Bourbon-Parma;X
1320014;Head of Government;José María Valiente Soriano;1955;1983;FA;Political Protege;High;UBO - José María Valiente Soriano;X
1320015;Head of Government;Juan Sáenz-Díez García;1975;1991;FA;Administrative Genius;Very High;UBO - Juan Sáenz-Díez García;X
1320016;Head of Government;José Antonio Primo de Rivera;1933;1964;FA;Silent Workhorse;Very High;M10036;X
1320017;Head of Government;Manuel Hedilla Larrey;1944;1971;FA;Smiling Oilman;High;M10050;X
1320018;Head of Government;José Zubiaur Alegre;1964;2013;FA;Silent Workhorse;High;UBO - José Zubiaur Alegre;X
1320019;Head of Government;Ramiro Ledesma Ramos;1933;1964;NS;Ambitious Union Boss;High;M10069;X
1320019;Head of Government;José Antonio Girón de Velasco;1963;1996;NS;Flamboyant Tough Guy;High;UBO - José Antonio Girón de Velasco;X
1320020;Head of Government;José María Zavala Castella;1971;1993;NS;Happy Amateur;High;UBO - José María Zavala Castella;X
1320021;Head of Government;Mariano Zufía Urrizalqui;1985;2006;NS;Silent Workhorse;High;UBO - Mariano Zufía Urrizalqui;X
