UER;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1340001;Head of State;S.M. Albrecht I;1933;1964;PA;Popular Figurehead;High;GER - Albrecht von Bayern;X
1340002;Head of Government;Hermann Göring;1933;1964;NS;Old Airmarshal;High;M10;X
1340003;Foreign Minister;Herman Esser;1933;1964;NS;Ideological Crusader;Very High;7769;X
1340004;Minister of Armament;Xaver Dorsch;1933;1964;NS;Construction Magnate;Very High;M222;X
1340005;Minister of Security;Friedrich Haselmayr;1933;1964;NS;Prince of Terror;Very High;L557;X
1340006;Head of Military Intelligence;Friedrich Haselmayr;1933;1964;NS;Logistics Specialist;Very High;L557;X
1340007;Chief of Staff;Wilhelm Ritter von Leeb;1933;1964;NS;School of Fire Support;Very High;L316;X
1340008;Chief of Army;Wilhelm List;1933;1964;NS;Decisive Battle Doctrine;Very High;L189;X
1340009;Chief of Navy;Under Army Command;1933;2020;PA;Generic;Very High;unknownminister;X
1340010;Chief of Air Force;Wilhelm List;1933;1964;NS;Army Aviation Doctrine;Very High;L189;X
