UPR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1315001;Head of State;H.M. Friedrich Wilhelm V von Romanov;1933;1964;PA;The Puppet Monarch;High;UPR - Grand Duke Boris Vladimirovich;X
1315002;Head of Government;Walther von Brauchitsch;1933;1964;FA;Old General;High;L282;X
1315003;Foreign Minister;Werner von Blomberg;1933;1964;FA;General Staffer;Very High;L607;X
1315004;Minister of Armament;Walter Warlimont;1933;1964;FA;Reformer;Very High;L357;X
1315005;Minister of Security;Erich Hoepner;1933;1964;FA;Crime Fighter;Very High;M18;X
1315006;Head of Military Intelligence;Erich Hoepner;1933;1964;FA;Dismal Enigma;Very High;M18;X
1315007;Chief of Staff;Friedrich-Wilhelm Hauck;1933;1964;FA;School of Fire Support;Very High;L126;X
1315008;Chief of Army;Ernst Busse;1933;1964;FA;Decisive Battle Doctrine;Very High;L34;X
1315009;Chief of Navy;Karl Dönitz;1933;1964;FA;Indirect Approach Doctrine;Very High;M32;X
1315010;Chief of Air Force;Ulrich Grauert;1933;1964;FA;Air Superiority Doctrine;Very High;L439;X
