USN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1330001;Head of State;William D. Pelley;1933;1964;NS;Ruthless Dictator;Very High;M6094;X
1330002;Head of Government;Ezra Pound;1933;1964;NS;Silent Workhorse;High;M6069;X
1330003;Foreign Minister;George Leonard Rockwell;1933;1964;NS;Ideological Crusader;Very High;USN - George Lincoln Rockwell;X
1330004;Minister of Armament;Harold Keith Thompson;1933;1964;NS;Planned Economy Proponent;Very High;USN - H Keith Thompson;X
1330005;Minister of Security;James A. Colescott;1933;1964;NS;Prince of Terror;Very High;M6016;X
1330006;Head of Military Intelligence;James A. Colescott;1933;1964;NS;Dismal Enigma;Very High;M6016;X
1330007;Chief of Staff;George Van Horn Moseley;1933;1964;NS;School of Manoeuvre;Very High;9709;X
1330008;Chief of Army;George Van Horn Moseley;1933;1964;NS;Armoured Spearhead Doctrine;Very High;9709;X
1330009;Chief of Navy;George Van Horn Moseley;1933;1964;NS;Coastal Defence Doctrine;Very High;9709;X
1330010;Chief of Air Force;Martin J. Monti;1933;1964;NS;Naval Aviation Doctrine;Very High;M6174;X
