UTL;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1345001;Head of State;William Z. Foster;1933;1964;ST;Ruthless Dictator;High;M6055;X
1345002;Head of Government;William Weinstone;1933;1964;ST;Backroom Backstabber;High;UTL - William Weinstone;X
1345003;Foreign Minister;Sam Darcy;1933;1964;ST;The Cloak N Dagger Schemer;Very High;M6073;X
1345004;Minister of Armament;Elizabeth Gurley Flynn;1933;1964;ST;Planned Economy Proponent;Very High;M6099;X
1345005;Minister of Security;Earl Browder;1933;1964;ST;Secret Police Chief;Very High;M6041;X
1345006;Head of Military Intelligence;Leon Josephson;1933;1964;ST;Counterintelligence Specialist;Very High;UTL - Leon Josephson;X
1345007;Chief of Staff;Hans Amlie;1933;1964;ST;School of Defence;High;M6027;X
1345008;Chief of Army;Steve Nelson;1933;1964;ST;Static Defence Doctrine;Very High;M6150;X
1345009;Chief of Navy;John Abt;1933;1964;ST;Base Control Doctrine;Very High;M6029;X
1345010;Chief of Air Force;John Abt;1933;1964;ST;Army Aviation Doctrine;Very High;M6029;X
